ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5059066,HM664618,10/17/2006 01:30:00 AM,045XX W VAN BUREN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1131,011,24,26,08B,1146219,1897639,2006,04/15/2016 08:55:02 AM,41.875103951,-87.738611562,"(41.875103951, -87.738611562)"
5059067,HM666703,10/18/2006 02:00:00 AM,053XX S CORNELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2132,002,5,41,14,1188158,1870244,2006,04/15/2016 08:55:02 AM,41.799030006,-87.585505972,"(41.799030006, -87.585505972)"
5059069,HM666410,10/17/2006 09:45:00 PM,070XX S JEFFERY BLVD,0580,STALKING,SIMPLE,RESIDENCE PORCH/HALLWAY,true,false,0331,003,5,43,08A,1190768,1858499,2006,04/15/2016 08:55:02 AM,41.766738169,-87.576313866,"(41.766738169, -87.576313866)"
5059072,HM666019,10/17/2006 06:00:00 PM,034XX W WRIGHTWOOD AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,1412,014,35,22,04B,1152822,1917070,2006,04/15/2016 08:55:02 AM,41.928296353,-87.713852667,"(41.928296353, -87.713852667)"
5059075,HM664823,10/17/2006 07:40:00 AM,122XX S PEORIA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0524,005,34,53,14,1172545,1823597,2006,04/15/2016 08:55:02 AM,41.671382767,-87.644131946,"(41.671382767, -87.644131946)"
5059077,HM661408,10/15/2006 12:00:00 PM,035XX N KIMBALL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1732,017,35,21,14,1153094,1923411,2006,04/15/2016 08:55:02 AM,41.94569115,-87.712684466,"(41.94569115, -87.712684466)"
5059078,HM663799,10/16/2006 04:41:48 PM,005XX W WASHINGTON BLVD,1360,CRIMINAL TRESPASS,TO VEHICLE,ALLEY,true,false,0111,001,42,28,26,1172526,1900777,2006,04/15/2016 08:55:02 AM,41.883174023,-87.641930367,"(41.883174023, -87.641930367)"
5059079,HM666970,10/18/2006 07:00:00 AM,015XX W GLENLAKE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,2433,024,48,77,14,1164924,1940602,2006,04/15/2016 08:55:02 AM,41.992620622,-87.668711456,"(41.992620622, -87.668711456)"
5059080,HM666979,10/17/2006 12:00:00 AM,013XX S LAWNDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,1011,010,24,29,14,1151921,1893547,2006,04/15/2016 08:55:02 AM,41.86376472,-87.7177837,"(41.86376472, -87.7177837)"
5059083,HM666280,10/17/2006 07:55:00 PM,114XX S HALSTED ST,0880,THEFT,PURSE-SNATCHING,PARKING LOT/GARAGE(NON.RESID.),false,false,2234,022,34,75,06,1173035,1828942,2006,04/15/2016 08:55:02 AM,41.686039547,-87.64218164,"(41.686039547, -87.64218164)"
